Nr,Befehl,Zweck,Risiko,Erwartete_Ausgabe
15,"kubectl logs -n pacman-prod <pod> -c pacman --previous","Logs des vorherigen (abgestürzten) Container-Laufs nach einem Neustart einsehen.","Gering (Lesezugriff); nur verfügbar bei restartCount > 0.","Log-Ausgabe des vorherigen Containerlaufs oder Fehlermeldung, falls kein vorheriger Lauf existiert."
16,"kubectl describe pod <pod> -n pacman-prod","Detaillierten Pod-Status inkl. Events und Referenzen (ohne Secret-Werte) prüfen.","Gering (Lesezugriff); zeigt nur Secret-/ConfigMap-Namen und -Keys, keine Werte.","Pod-Spezifikation, Status, Conditions und Events-Abschnitt."
17,"kubectl exec -it <pod> -n pacman-prod -- sh","Interaktive Fehlersuche direkt im laufenden Container.","Hoch: direkter Zugriff auf die Laufzeitumgebung; versehentliche Änderungen im Container sind möglich und nicht persistent/GitOps-konform.","Interaktive Shell im Container."
18,"kubectl get events -n pacman-prod --sort-by=.lastTimestamp","Cluster-Ereignisse chronologisch prüfen, insbesondere Warnungen.","Gering (Lesezugriff).","Chronologische Event-Liste inkl. TYPE, REASON, OBJECT, MESSAGE."
19,"kubectl get pvc -n pacman-prod","Status der persistenten Volumes (MongoDB-Daten, Backup) prüfen.","Gering (Lesezugriff).","PVC-Liste mit STATUS Bound."
20,"kubectl get statefulset mongodb -n pacman-prod","Soll-/Ist-Replikate des MongoDB-StatefulSets prüfen.","Gering (Lesezugriff).","DESIRED 1, READY 1, CURRENT 1."
21,"kubectl create job --from=cronjob/mongodb-backup manual-backup-<timestamp> -n pacman-prod","Backup-CronJob außerplanmäßig manuell auslösen.","Mittel: zusätzliche Last auf MongoDB während des Dumps, aber ohne Datenverlust; Job-Name muss eindeutig sein.","""job.batch/manual-backup-<timestamp> created""."
22,"kubectl get jobs -n pacman-prod","Status von Backup-/Restore-Jobs prüfen.","Gering (Lesezugriff).","Job-Liste mit COMPLETIONS 1/1 bei Erfolg."
23,"kubectl get applications.argoproj.io -n argocd","Sync- und Health-Status aller Argo-CD-Anwendungen prüfen.","Gering (Lesezugriff).","Anwendungsliste mit SYNC STATUS Synced und HEALTH STATUS Healthy."
24,"kubectl patch application pacman-prod -n argocd --type merge -p '{""operation"":{""sync"":{}}}'","Argo-CD-Sync für eine Anwendung manuell anstoßen (Alternative zur UI/CLI).","Mittel: löst sofortige Anwendung des Git-Sollzustands auf den Cluster aus; bei ungeprüften Änderungen im Ziel-Branch kann dies unerwünschte Änderungen in Prod bewirken.","""application.argoproj.io/pacman-prod patched""."
25,"kubectl port-forward svc/argocd-server -n argocd 8443:443","Lokalen Zugriff auf die Argo-CD-Oberfläche einrichten.","Gering: nur lokaler Netzwerkzugriff, keine Cluster-Zustandsänderung; blockiert das Terminal bis zum Abbruch.","""Forwarding from 127.0.0.1:8443 -> 443""."
26,"kubectl delete pod <pod> -n pacman-prod","Einzelnen fehlerhaften Pod kontrolliert entfernen, Controller erstellt ihn automatisch neu.","Mittel: kurzzeitiger Kapazitätsverlust um einen Pod, bei ausreichend Replikaten kein Ausfall des Dienstes.","""pod ""<pod>"" deleted""."
27,"kubectl delete namespace <namespace>","Namespace inklusive aller enthaltenen Ressourcen löschen.","Hoch: irreversibel, entfernt Deployments, Secrets, PVCs und alle weiteren Ressourcen im Namespace unwiderruflich. Nur für Test-/Wegwerf-Namespaces verwenden, niemals für pacman-dev/pacman-prod/monitoring/argocd.","""namespace ""<namespace>"" deleted""."
28,"kubectl get secret mongodb-credentials -n pacman-prod","Vorhandensein des MongoDB-Secrets prüfen, ohne dessen Inhalt anzuzeigen.","Gering: ohne -o yaml/-o json werden keine Secret-Werte ausgegeben.","NAME mongodb-credentials, TYPE Opaque, DATA 4."
29,"kubectl get secret mongodb-credentials -n pacman-prod -o yaml","Vollständiges Secret-Objekt inklusive Werten abrufen.","Hoch: Secret-Werte werden Base64-kodiert (nicht verschlüsselt) im Klartext sichtbar; darf nicht in Logs, Diagnose-Exporten oder Screenshots landen. In den Betriebsskripten bewusst nicht verwendet.","Vollständiges Secret-Manifest inkl. data-Feldern (Base64)."
30,"kubectl drain node docker-desktop --ignore-daemonsets","Node für Wartungsarbeiten leeren (alle Pods verschieben/beenden).","Hoch: im Single-Node-Cluster (Docker Desktop) führt dies zum Totalausfall aller Workloads, da kein Ausweich-Node existiert. Nur mit Bedacht und Wissen um Single-Node-Setup einsetzen.","Node wird cordoned, alle Pods werden evakuiert/beendet."
31,"docker info","Verfügbarkeit von Docker Desktop vor dem Cluster-Zugriff prüfen.","Gering (Lesezugriff).","Docker-Systeminformationen; Fehlermeldung, falls Docker Desktop nicht läuft."
32,"git status --short (im pacman-gitops-Repository)","Unversionierte oder nicht committete Änderungen vor einer GitOps-Aktion prüfen.","Gering (Lesezugriff).","Leere Ausgabe bei sauberem Arbeitsverzeichnis, sonst Liste geänderter Dateien."
33,"df -Pk \$HOME","Freien lokalen Speicherplatz vor ressourcenintensiven Aktionen (Backups, Diagnostics) prüfen.","Gering (Lesezugriff).","Verfügbarer Speicherplatz in KiB der Home-Partition."
