Test_ID,Datum,Bereich,Umgebung,Ziel,Voraussetzung,Testdaten,Schritte,Erwartetes_Ergebnis,Tatsaechliches_Ergebnis,Status,Workflow_Run_oder_Commit,Nachweisdatei,Fehler_ID,Nachtest_Datum,Nachtest_Ergebnis
T11,2026-08-23,GitHub Actions und GHCR,pacman-app / lokaler Container,Gebautes Pacman-Image lokal starten und Anwendung inklusive MongoDB-Verbindung prüfen.,Lokales Image pacman-app:t11-local; erreichbare MongoDB.,Container pacman-t11; GET /; GET /highscores/list,Container starten; docker ps und docker logs prüfen; beide HTTP-Endpunkte aufrufen.,Container läuft; Log meldet Listening/Connected; beide Endpunkte liefern HTTP 200.,Container pacman-t11 lief; Log meldete 'Listening on port 8080' und 'Connected to database server successfully'; / und /highscores/list lieferten HTTP 200.,Bestanden,lokaler T11-Image-Test,Terminalnachweis im AP29-Arbeitslauf (pacman-t11),,,
T12,2026-08-23,GitHub Actions und GHCR,GitHub Actions / Release / GHCR,Erfolgreichen Release-Workflow nach Security-Korrektur nachweisen.,Release-Workflow vorhanden; Security-Gate aktiviert.,Workflow release.yml; main,Release-Workflow ausführen und Ergebnis prüfen.,Release endet success und führt die freigegebenen Release-Schritte aus.,Release-Run 32584467096 auf main wurde erfolgreich abgeschlossen.,Bestanden,Run 32584467096,GitHub Actions Run 32584467096; separater Screenshotname noch zuzuordnen,F02,2026-08-26,Release-Nachtest success
T13,2026-08-23,GitHub Actions und GHCR,GitHub Actions / GHCR,Versionierte Veröffentlichung des Images und Registry-Nachvollziehbarkeit prüfen.,Erfolgreicher Release-Workflow; GHCR-Berechtigung vorhanden.,Commit-SHA-Tag / Image-Digest,Release-Run prüfen; Image-Push und Digest-Schritte kontrollieren.,Image wird versioniert veröffentlicht; Digest/Tag sind nachvollziehbar.,Nach erfolgreichem Security-Gate lief der Release durch; der Workflow enthielt Image-Push und Digest-Ausgabe als Release-Schritte.,Bestanden,Run 32584467096,GitHub Actions Release-Nachweis; separater T13-Screenshotname noch zuzuordnen,,,
T14,2026-08-23,Kustomize und Kubernetes Ressourcen,pacman-gitops / Kustomize,Kustomize-Overlay fehlerfrei rendern und Kubernetes-Manifeste clientseitig validieren.,GitOps-Repository vorhanden; Kustomize-Overlays vorhanden.,apps/pacman/overlays/prod,kubectl kustomize ausführen; gerenderte YAML mit kubectl apply --dry-run=client prüfen.,Rendering und Dry Run laufen ohne Syntax-/Validierungsfehler.,"Gerenderte Ressourcen wurden im Client-Dry-Run als configured (dry run) akzeptiert, darunter Deployment, StatefulSet, HPA, Ingress und NetworkPolicies.",Bestanden,GitOps main / Kustomize,screenshots/21_tests/T28_02_promotion_prod_kustomize_validation.png,,,
T15,2026-08-23,Kustomize und Kubernetes Ressourcen,pacman-dev / Kubernetes,Pacman-Deployment und Kubernetes-Grundressourcen auf konsistenten Betriebszustand prüfen.,Dev-Overlay synchronisiert.,Deployment pacman; Namespace pacman-dev,Deployment/Pods und Soll-/Istzustand prüfen.,Deployment besitzt verfügbare Ready-Pods und die gerenderten Ressourcen sind gültig.,Pacman-Deployment war im Dev-Namespace betriebsbereit; nachfolgende Service-/StatefulSet-Tests konnten erfolgreich durchgeführt werden.,Bestanden,GitOps main,Nachweisdatei noch nicht separat benannt; Kubernetes-Baseline im AP29-Arbeitslauf,,,
T16,2026-08-23,Kustomize und Kubernetes Ressourcen,pacman-dev / Kubernetes Service,Service-Routing über mehrere HTTP-Anfragen stabil prüfen.,Pacman-Service und Ready-Pod vorhanden.,10 HTTP-Anfragen an Service pacman,Temporären Test-Pod starten und 10 HTTP-Anfragen gegen Service pacman senden.,Alle zehn Requests liefern HTTP 200.,Request 01 bis Request 10 lieferten jeweils HTTP 200.,Bestanden,Kubernetes Service-Test,screenshots/21_tests/T16_03_Service_HTTP_10_Requests_Erfolgreich.png,,,
T17,2026-08-23,Kustomize und Kubernetes Ressourcen,pacman-dev / MongoDB StatefulSet,"StatefulSet, Service und PVC sowie Persistenz nach Pod-Löschung prüfen.",MongoDB StatefulSet und PVC vorhanden.,mongodb-0; PVC mongodb-data-mongodb-0,StatefulSet/Pods/Services/PVC prüfen; mongodb-0 löschen; Neuanlage beobachten.,PVC bleibt Bound; StatefulSet erstellt mongodb-0 neu und Pod wird Running/Ready.,StatefulSet war 1/1; PVC Bound 1Gi RWO; nach Pod-Löschung wurde mongodb-0 neu erstellt und lief wieder 1/1 Running.,Bestanden,Kubernetes StatefulSet-Test,screenshots/21_tests/T17_02_PVC_Nach_Pod_Loeschung.png,,,
T18,2026-08-23,Kustomize und Kubernetes Ressourcen,pacman-dev / pacman-prod,ConfigMap- und Secret-Struktur in Dev und Prod ohne Offenlegung von Secret-Werten prüfen.,ConfigMaps und Secret mongodb-credentials vorhanden.,"ConfigMap mongodb-init; Secret-Schlüssel app-password, app-username, root-password, root-username",Bestand der ConfigMaps/Secrets prüfen; nur Schlüssel der Secret-Daten ausgeben.,Benötigte Konfigurationen sind vorhanden; Secret-Werte werden nicht ausgegeben.,"mongodb-init war vorhanden; Schlüssel 01-create-pacman-user.js wurde bestätigt; Secret-Schlüsselnamen waren in Dev und Prod identisch sichtbar, ohne Werte offenzulegen.",Bestanden,Kubernetes Konfigurationsprüfung,screenshots/21_tests/T18_03_Secret_Schluessel_Dev_Prod.png,,,
T19,2026-08-23,"Ingress, Netzwerk und Sicherheit",Docker Desktop / ingress-nginx,Ingress-Controller und lokale Namensauflösung für Pacman prüfen.,Helm und ingress-nginx installiert; lokale Hosts konfiguriert.,pacman-dev.local; pacman.local,"Kubernetes-Kontext, Helm-Release, Controller-Pod und IngressClass prüfen; lokale Namen auflösen.",ingress-nginx ist deployed und Running; lokale Hostnamen lösen auf 127.0.0.1 auf.,Helm-Release ingress-nginx war deployed; Controller 1/1 Running; IngressClass nginx vorhanden; pacman-dev.local und pacman.local lösten auf 127.0.0.1 auf.,Bestanden,ingress-nginx 4.15.1 / App 1.15.1,screenshots/21_tests/T19_01_Ingress_NGINX_Helm_Status.png,,,
T20,2026-08-23,"Ingress, Netzwerk und Sicherheit",pacman-prod / NetworkPolicy,Least-Privilege-Netzwerkregeln prüfen: erlaubter Pacman→MongoDB-Weg und blockierter unerlaubter Gegenweg.,Prod-NetworkPolicies aktiv.,TCP 27017; MongoDB→Pacman:8080 Negativtest,NetworkPolicies beschreiben; zulässigen DB-Port prüfen; aus MongoDB-Pod Verbindung zu Pacman:8080 testen.,Pacman→MongoDB 27017 ist erlaubt; nicht benötigter MongoDB→Pacman:8080-Weg wird blockiert.,Policy erlaubte Egress TCP/27017 zu MongoDB; DNS-Auflösung funktionierte; Verbindung MongoDB→Pacman:8080 wurde erwartungsgemäß blockiert.,Bestanden,NetworkPolicy prod,screenshots/21_tests/T20_02_Pacman_MongoDB_Verbindung_Erlaubt.png,,,
T21,2026-08-23,"Ingress, Netzwerk und Sicherheit",pacman.local / nginx Ingress,Negativtest für nicht vorhandenen HTTP-Pfad durchführen.,Ingress für pacman.local erreichbar.,GET /ap20-nicht-vorhanden,curl mit --resolve auf pacman.local und nicht vorhandenen Pfad ausführen.,Ingress antwortet kontrolliert mit HTTP 404.,HTTP/1.1 404 Not Found wurde von nginx zurückgegeben.,Bestanden,Ingress-Negativtest,screenshots/21_tests/T21_01_Ingress_Negativ_HTTP404.png,,,
T22,2026-08-23,"Ingress, Netzwerk und Sicherheit",pacman-dev / NetworkPolicy,Kontrollierten NetworkPolicy-Konfigurationsfehler und sauberen Rückbau bewerten.,Test-Policy aus Commit c3517a9; MongoDB-Service Port 27017.,Falscher Egress-Port 27018; korrekter Service-Port 27017,Git-Fehlerstand und Live-Service vergleichen; Wirksamkeit bewerten; Testpolicy entfernen; Argo-CD-/Pod-Zustand nachtesten.,Fehlerkonfiguration wird erkannt; Plattformgrenze wird dokumentiert; nach Rückbau ist Sollzustand gesund.,"Git zeigte bewusst Port 27018 statt 27017; die Policy wurde in der lokalen Konstellation nicht zuverlässig erzwungen. Nach Rückbau: Testpolicy NotFound, Argo CD Synced/Healthy, MongoDB 27017, Pacman Running.",Bestanden,c3517a9; 068015f,screenshots/21_tests/T22_03_NetworkPolicy_Rueckbau_Nachtest_Erfolgreich.png,,2026-08-23,Rückbau erfolgreich; Plattformgrenze dokumentiert
T23,2026-08-25,"Probes, Ressourcen und Skalierung",pacman-dev,Readiness-Baseline von Pacman und MongoDB sowie DB-abhängigen Endpunkt prüfen.,Pacman und MongoDB laufen.,Pacman-Pod; mongodb-0; GET /highscores/list,Pod-Status prüfen; temporären Curl-Pod starten und /highscores/list aufrufen.,Pods sind Running/Ready; Highscore-Endpunkt liefert HTTP 200.,Pacman und MongoDB waren Running/Ready; /highscores/list lieferte HTTP 200.,Bestanden,Kubernetes Readiness-Baseline,screenshots/21_tests/T23_02_readiness_http200_ready.png,,,
T24,2026-08-25,"Probes, Ressourcen und Skalierung",pacman-dev,Readiness-Verhalten bei MongoDB-Ausfall prüfen und anschließend wiederherstellen.,Readiness-Probe auf /highscores/list; MongoDB StatefulSet vorhanden.,MongoDB zeitweise nicht verfügbar,MongoDB kontrolliert skalieren/ausfallen lassen; Pacman-READY und Events beobachten; MongoDB wiederherstellen.,"Pacman bleibt ggf. Running, wird aber Ready=false; Events zeigen Readiness-Probe-Fehler; nach Restore wieder Ready.",Pacman wurde Ready=false; Event zeigte Readiness probe failed mit Timeout. Nach MongoDB-Restore war die Umgebung wieder bereit.,Bestanden,AP29 Readiness-Ausfalltest,screenshots/21_tests/T24_02_readiness_mongodb_ausfall_probefailed.png,,2026-08-25,MongoDB auf 1 Replica wiederhergestellt; Readiness wieder Ready
T25,2026-08-25,"Probes, Ressourcen und Skalierung",pacman-dev / Argo CD,"Liveness-Probe-Fehler, Container-Restart und Wiederherstellung prüfen.",Pacman Deployment mit Liveness-Probe vorhanden.,Ungültiger Liveness-Pfad; korrekter Pfad /,Liveness-Pfad kontrolliert fehlerhaft setzen; Events/Restart beobachten; korrekten GitOps-Sollzustand wiederherstellen.,Fehlerhafter Pfad erzeugt Liveness-Fehler und Restart; nach Restore läuft Pod Ready und Argo CD ist Synced/Healthy.,"Events zeigten 'failed liveness probe, will be restarted' und HTTP 404. Nach Restore: Liveness-Pfad '/', Pod Running/Ready und Argo CD Synced/Healthy.",Bestanden,bb4e38c Fehler; 93e24a2 Fix; PR #32/#33,screenshots/21_tests/T25_03_liveness_probe_failed_restart.png,F06,2026-08-25,Liveness-Probe erfolgreich auf den gültigen Pfad zurückgesetzt; Pacman-Pod anschließend stabil.
T26,2026-08-25,"Probes, Ressourcen und Skalierung",pacman-dev / HPA,Horizontale Skalierung unter CPU-Last und Verhalten nach Lastende prüfen.,metrics-server verfügbar; HPA min=1 max=3 target=60%; CPU-Requests gesetzt.,hpa-load; CPU-Auslastung > 60%,Lastgenerator starten; kubectl get hpa -w beobachten; Last beenden und Rückgang beobachten.,HPA skaliert bei Last bis zur konfigurierten Grenze und reduziert nach Lastende wieder.,CPU lag wiederholt über 60%; HPA skalierte auf 3 Replicas. Nach Lastende fiel CPU auf 2%/1% und Replica-Zahl begann zurückzugehen.,Bestanden,HPA pacman-dev,screenshots/21_tests/T26_02_hpa_scale_up.png,,,
T27,2026-08-25,Argo CD und GitOps,pacman-dev / Argo CD,Drift-Erkennung und Self-Heal von Argo CD kontrolliert nachweisen.,pacman-dev Synced/Healthy; Auto-Sync/Self-Heal verfügbar.,Deployment maxSurge 1 → 2,Self-Heal temporär deaktivieren; maxSurge live auf 2 patchen; OutOfSync beobachten; Self-Heal wieder aktivieren; Wiederherstellung prüfen.,Argo CD erkennt OutOfSync; nach Self-Heal wird maxSurge auf Git-Sollwert 1 zurückgesetzt und Status wieder Synced/Healthy.,OutOfSync wurde erkannt; maxSurge=2 war sichtbar; nach Reaktivierung von Self-Heal wurde maxSurge=1 wiederhergestellt und Argo CD war Synced/Healthy.,Bestanden,Argo-CD Drift-Test T27,screenshots/21_tests/T27_03_argocd_outofsync_selfheal_synced.png,F07,2026-08-25,Self-Heal erfolgreich
T28,2026-08-25,Argo CD und GitOps,pacman-dev / pacman-prod,Kontrollierte Promotion eines in Dev geprüften Commit-SHA-Images nach Prod über Git/PR/Argo CD nachweisen.,Dev und Prod Synced/Healthy; unterschiedliche Image-SHAs; Prod-Auto-Sync deaktiviert.,Dev SHA a4c49abd81d9f5c4472b90110cb3fca5ae0348c2; vorheriger Prod SHA 2ae1f2e41c992fdbb81107aac79e66afe7ef2ea1,Prod-Kustomization auf Dev-SHA ändern; Kustomize/Dry-Run validieren; PR #36 nach main; Merge; OutOfSync beobachten; Prod synchronisieren; Image prüfen.,Prod übernimmt exakt den geprüften Dev-SHA und endet Synced/Healthy.,PR #36 wurde gemergt; Argo CD erkannte OutOfSync; nach Sync war pacman-prod Synced/Healthy und PROD-IMAGE=a4c49abd81d9f5c4472b90110cb3fca5ae0348c2.,Bestanden,eb2fca3; Merge f62e055; PR #36,screenshots/21_tests/T28_07_promotion_argocd_prod_synced_healthy.png,,,
T29,2026-08-25,Argo CD und GitOps,pacman-prod / Argo CD,GitOps-Rollback der vorherigen Prod-Promotion auf den letzten funktionsfähigen Image-Stand prüfen.,T28-Promotion gemergt; vorheriger Prod-SHA bekannt.,Rollback-Ziel 2ae1f2e41c992fdbb81107aac79e66afe7ef2ea1; PR #37,Merge-Commit von PR #36 revertieren; PR #37 nach main mergen; Prod manuell über Argo CD synchronisieren; Image und Rollout prüfen.,Prod läuft wieder mit vorherigem SHA; Argo CD Synced/Healthy; Rollout erfolgreich.,PR #37 wurde erfolgreich nach main gemergt. Der Rollback stellte den vorherigen Prod-Stand 2ae1f2e41c992fdbb81107aac79e66afe7ef2ea1 wieder her. Argo CD war Synced/Healthy und das Deployment wurde erfolgreich ausgerollt. Der aktuelle main-Stand wurde später wieder auf f62e055 zurückgesetzt.,Bestanden,Revert 8d81e09; Merge f051d6087d7f0437b852c21f2045122f42ab1c22; PR #37,screenshots/21_tests/T29_02_rollback_prod_synced_healthy.png,,,
T30,2026-08-26,"Monitoring, Backup und Restore / Abschlussabnahme",pacman-prod,Finalen produktiven End-to-End-Betriebszustand nach allen Tests abnehmen.,Prod-Rollback abgeschlossen; Argo CD synchronisiert.,Argo CD; Deployment pacman 3/3; StatefulSet mongodb 1/1; GET /; GET /highscores/list,"Argo-CD-Status, Workloads und Pods prüfen; aus temporärem Test-Pod Startseite und Highscore-Endpunkt aufrufen.",Prod ist Synced/Healthy; Pacman 3/3 verfügbar; MongoDB 1/1; beide HTTP-Endpunkte liefern 200.,pacman-prod war Synced/Healthy; Deployment pacman 3/3 Ready/Available; MongoDB StatefulSet 1/1; alle Pods Running/Ready; Startseite HTTP 200 und /highscores/list HTTP 200.,Bestanden,T30 Prod-Abnahmetest,screenshots/21_tests/T30_prod_abnahme_e2e_http200.png,,,
