Ressource_ID,Kind,Name,Namespace,Datei,Zweck,Abhaengigkeit,Datenhaltung,Sicherheitsbezug,Dev_Wert,Prod_Wert,Test_ID
K11,Ingress,pacman,pacman-dev / pacman-prod,pacman-gitops/apps/pacman/base/ingress.yaml,Lokaler HTTP-Zugriff auf die Anwendung,Service pacman; ingress-nginx-Controller,nein,kein NodePort; Zugriff ausschliesslich ueber Ingress,host pacman-dev.local (Overlay-Patch),host pacman.local (Base-Wert),T-K11
K12,NetworkPolicy,default-deny-prod,pacman-prod,pacman-gitops/apps/pacman/base/networkpolicy.yaml,Grundsaetzliche Sperrung allen Traffics als Ausgangsbasis,podSelector {} (alle Pods im Namespace),nein,"policyTypes Ingress+Egress",nicht aktiv (Plattformgrenze Docker Desktop dokumentiert),aktiv,T-K12
K13,NetworkPolicy,allow-ingress-to-pacman,pacman-dev / pacman-prod,pacman-gitops/apps/pacman/base/networkpolicy.yaml,Erlaubt eingehenden Traffic vom Ingress-Controller zu Pacman,Ingress-Controller-Namespace,nein,gezielte Ausnahme vom Default-Deny,identisch,identisch,T-K13
K14,NetworkPolicy,allow-pacman-to-mongodb,pacman-dev / pacman-prod,pacman-gitops/apps/pacman/base/networkpolicy.yaml,Erlaubt Pacman-Pods den Zugriff auf MongoDB Port 27017,Pod-Label app.kubernetes.io/name=mongodb,nein,gezielte Ausnahme vom Default-Deny,identisch,identisch,T-K14
K15,NetworkPolicy,allow-mongodb-from-pacman,pacman-dev / pacman-prod,pacman-gitops/apps/pacman/base/networkpolicy.yaml,Erlaubt MongoDB eingehenden Traffic ausschliesslich von Pacman,Pod-Label app.kubernetes.io/name=pacman,nein,gezielte Ausnahme vom Default-Deny,identisch,identisch,T-K15
K16,NetworkPolicy,allow-dns-prod,pacman-prod,pacman-gitops/apps/pacman/base/networkpolicy.yaml,Erlaubt DNS-Aufloesung trotz Default-Deny-Egress,kube-dns / CoreDNS,nein,notwendige Ausnahme fuer Namensaufloesung,nicht aktiv,aktiv,T-K16
K17,HorizontalPodAutoscaler,pacman,pacman-prod,pacman-gitops/apps/pacman/base/hpa.yaml,Automatische Skalierung nach CPU-Auslastung,Deployment pacman; metrics-server,nein,verhindert Unterversorgung/Ueberlast,nicht aktiv (hpa-delete-patch.yaml),"min 3 / max 6 / CPU-Ziel 60 %",D07
K18,PodDisruptionBudget,pacman,pacman-prod,pacman-gitops/apps/pacman/overlays/prod/pdb.yaml,Mindestverfuegbarkeit bei freiwilligen Unterbrechungen (z. B. Node-Drain),Deployment pacman,nein,begrenzte Aussagekraft auf Single-Node-Cluster dokumentiert,nicht aktiv (pdb-delete-patch.yaml),minAvailable 2,T-K18
K19,LimitRange,pacman-container-limits,pacman-dev / pacman-prod,pacman-gitops/apps/pacman/base/limitrange.yaml; overlays/prod/limitrange-patch.yaml,Verhindert Container ohne/mit unplausiblen Ressourcenangaben,Namespace,nein,Namespace-weite Ressourcengrenze,"default 500m/256Mi; max 1/512Mi",default 500m/256Mi; max 2/1Gi,T-K19
K20,ResourceQuota,pacman-namespace-quota,pacman-dev / pacman-prod,pacman-gitops/apps/pacman/base/resourcequota.yaml; overlays/prod/resourcequota-patch.yaml,Begrenzt Gesamtressourcenverbrauch je Namespace,alle Ressourcen im Namespace,nein,verhindert unkontrolliertes Ressourcenwachstum,"limits.cpu 2 / limits.memory 1536Mi / pods 6",limits.cpu 5 / limits.memory 3Gi / pods 10,T-K20
K21,PersistentVolumeClaim,mongodb-backup,pacman-dev / pacman-prod,pacman-gitops/apps/pacman/base/backup-pvc.yaml,Separater Speicher fuer zeitgestempelte MongoDB-Backups,CronJob mongodb-backup; Restore-Job,ja,getrennt vom Datenbank-PVC,2Gi hostpath,2Gi hostpath,T-K21
K22,PersistentVolumeClaim,mongodb-data-mongodb-0,pacman-dev / pacman-prod,generiert aus VolumeClaimTemplate in mongodb-statefulset.yaml,Persistente Ablage der MongoDB-Datendateien,StatefulSet mongodb,ja,ReadWriteOnce,1Gi hostpath,1Gi hostpath,T-K22
K23,CronJob,mongodb-backup,pacman-dev / pacman-prod,pacman-gitops/apps/pacman/base/backup-cronjob.yaml,Zeitgesteuerte mongodump-Sicherung der Datenbank pacman,PVC mongodb-backup; Secret mongodb-credentials,nein (erzeugt Daten auf PVC mongodb-backup),"concurrencyPolicy Forbid; Secret-Nutzung statt Klartext",Schedule 30 21 * * * Europe/Berlin,Schedule 30 21 * * * Europe/Berlin,D09
K24,Job (Template - nicht in Kustomize eingebunden),restore-job-template,pacman-dev / pacman-prod,pacman-gitops/apps/pacman/base/restore-job-template.yaml,Kontrollierter mongorestore aus einem gewaehlten Backup-Archiv,PVC mongodb-backup; Secret mongodb-credentials,ja (liest von PVC mongodb-backup),bewusst nicht automatisch ueber Argo CD ausgerollt (--drop nicht bei jedem Sync),manuell angewendet,manuell angewendet,T-K24
K25,AppProject,pacman,argocd,pacman-gitops/clusters/docker-desktop/argocd/project.yaml,Begrenzt erlaubte Quellen/Zielcluster/Namespaces fuer Argo CD,Argo CD,nein,Least-Privilege fuer GitOps-Bereitstellung,-,-,T-K25
K26,Application,pacman-dev,argocd,pacman-gitops/clusters/docker-desktop/argocd/application-dev.yaml,GitOps-Bereitstellung der Dev-Umgebung,AppProject pacman; overlays/dev,nein,automated sync + selfHeal + prune,Synced/Healthy (live bestaetigt),n/a,T-K26
K27,Application,pacman-prod,argocd,pacman-gitops/clusters/docker-desktop/argocd/application-prod.yaml,GitOps-Bereitstellung der Prod-Umgebung,AppProject pacman; overlays/prod,nein,kein automated-Block; kontrollierte manuelle Synchronisierung,n/a,Synced/Healthy (live bestaetigt),T-K27
